site_id,date,labels
1147060_19,2024-01-03,1
1147060_19,2024-01-10,1
1147060_19,2024-01-15,0
1147060_19,2024-01-22,0
1147060_19,2024-01-27,1
1147060_19,2024-02-03,1
1147060_19,2024-02-08,5
1147060_19,2024-02-15,5
1147060_19,2024-03-03,5
1147060_19,2024-03-10,0
1147060_19,2024-03-15,1
1147060_19,2024-03-22,1
1147060_19,2024-03-27,0
1147060_19,2024-04-03,0
1147060_19,2024-04-08,1
1147060_19,2024-04-15,1
1147060_19,2024-04-20,2
1147060_19,2024-04-27,2
1147060_19,2024-05-02,2
1147060_19,2024-05-09,2
1147060_19,2024-05-14,2
1147060_19,2024-05-21,2
1147060_19,2024-05-26,3
1147060_19,2024-06-02,3
1147060_19,2024-06-07,3
1147060_19,2024-06-14,3
1147060_19,2024-06-19,3
1147060_19,2024-06-26,3
1147060_19,2024-07-01,3
1147060_19,2024-07-08,3
1147060_19,2024-07-13,3
1147060_19,2024-07-20,3
1147060_19,2024-07-25,3
1147060_19,2024-08-01,3
1147060_19,2024-08-06,3
1147060_19,2024-08-13,3
1147060_19,2024-08-18,3
1147060_19,2024-08-25,3
1147060_19,2024-08-30,3
1147060_19,2024-09-06,3
1147060_19,2024-09-11,3
1147060_19,2024-09-18,3
1147060_19,2024-09-23,3
1147060_19,2024-09-30,3
1147060_19,2024-10-05,3
1147060_19,2024-10-12,3
1147060_19,2024-10-17,3
1147060_19,2024-10-24,3
1147060_19,2024-10-29,3
1147060_19,2024-11-05,3
1147060_19,2024-11-10,3
1147060_19,2024-11-17,7
1147060_19,2024-11-22,7
1147060_19,2024-11-29,7
1147060_19,2024-12-04,7
1147060_19,2024-12-11,7
1147060_19,2024-12-16,7
1147060_19,2024-12-23,7
1147060_19,2024-12-28,7
