ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
913366_13,Fire,natural,51.9631153665717,-78.2319721172836,17UPT,fire,2,63,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
913366_14,Fire,natural,51.9718513091223,-78.2593914393982,17UPT,fire,1,55,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
913366_15,Fire,natural,51.991778422372,-78.1891218936285,17UPT,fire,3,59,0,0,18,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.7662337662337663
913366_16,Fire,no,51.9747955028598,-78.1897487168859,17UPT,fire,3,128,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
913366_17,Fire,no,51.9795980109245,-78.2676567292693,17UPT,fire,3,120,0,0,11,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.916030534351145
913366_18,Fire,no,51.9669420657583,-78.1998499272393,17UPT,fire,2,120,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
913366_19,Fire,natural,51.9768256090085,-78.1843788347254,17UPT,fire,2,59,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
913366_20,Fire,natural,51.9624113991853,-78.2595308529458,17UPT,fire,1,55,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
916424_1,Clear cut,human,52.403868570144,-113.237726758703,12UUD,other,2,22,0,0,47,0,0,8,0,30,NA,0.0,1.0,0.7894736842105263,1.0,0.35294117647058826,0.9252336448598131,0.48598130841121495
916424_2,Crop cycle change,no,52.3800776615811,-113.337913610679,12UUD,other,4,144,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
916424_3,noChange,no,52.4593358566457,-113.271452347489,12UUD,other,4,156,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
916424_4,Crop cycle change,no,52.4510901132236,-113.208330169569,12UUD,other,3,68,0,0,0,67,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
916424_5,Crop cycle change,no,52.4513101526385,-113.210990379542,12UUD,other,3,60,0,0,0,69,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
916424_6,Crop cycle change,no,52.4569954077298,-113.252784896923,12UUD,other,3,103,0,0,19,8,0,0,0,0,1.0,0.2962962962962963,NA,NA,1.0,0.2962962962962963,1.0,0.8538461538461538
916424_7,Crop cycle change,no,52.4489258126579,-113.208663382543,12UUD,other,2,68,0,0,2,0,72,0,0,0,NA,0.972972972972973,1.0,NA,1.0,0.972972972972973,0.49295774647887325,0.9859154929577465
916424_8,Crop cycle change,no,52.408189036232,-113.307640378535,12UUD,other,2,84,0,0,4,0,31,0,0,0,NA,0.8857142857142857,1.0,NA,1.0,0.8857142857142857,0.7394957983193278,0.9663865546218487
916424_9,Crop cycle change,no,52.4171992997456,-113.231783926967,12UUD,other,3,99,0,0,0,0,0,0,83,0,1.0,NA,NA,1.0,1.0,1.0,0.5439560439560439,1.0
916424_10,Crop cycle change,no,52.4599396631278,-113.309904889457,12UUD,other,2,121,0,0,0,0,43,0,0,0,NA,NA,1.0,NA,1.0,NA,0.7378048780487805,1.0
916424_11,Crop cycle change,no,52.4611726623762,-113.260064382664,12UUD,other,3,64,0,0,0,66,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
916424_12,Crop cycle change,no,52.4529024369015,-113.212394806816,12UUD,other,2,64,0,0,2,0,69,0,0,0,NA,0.971830985915493,1.0,NA,1.0,0.971830985915493,0.4888888888888889,0.9851851851851852
916424_13,Crop cycle change,no,52.3945426397027,-113.343088085689,12UUD,other,3,75,0,0,9,0,0,0,96,0,1.0,0.0,NA,1.0,1.0,0.9142857142857143,0.4666666666666667,0.95
916424_14,Crop cycle change,no,52.4606602834887,-113.215875234712,12UUD,other,2,73,0,0,0,0,63,0,0,0,NA,NA,1.0,NA,1.0,NA,0.5367647058823529,1.0
916424_15,Crop cycle change,no,52.460962851795,-113.214123911689,12UUD,other,2,73,0,0,0,0,63,0,0,0,NA,NA,1.0,NA,1.0,NA,0.5367647058823529,1.0
