block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
782693,treelossTF,producers,VLsub,high,18,None
835445,treelossTF,producers,VLsub,high,19,0.0
889432,treelossTF,producers,VLsub,high,20,0.2826112631144355
1058298,treelossTF,producers,VLsub,high,20,0.7093692521942022
74185,cropnew,producers,VLsub,high,16,None
254365,cropnew,producers,VLsub,high,10,0.6905042438421063
835151,cropnew,producers,VLsub,high,20,0.07031306185447243
857008,cropnew,producers,VLsub,high,20,0.4118986755172426
1085866,cropnew,producers,VLsub,high,20,0.6423804267748519
1415162,cropnew,producers,VLsub,high,20,0.8146711386951776
1465798,cropnew,producers,VLsub,high,20,0.7521171141600472
1472326,cropnew,producers,VLsub,high,20,0.0
866187,wetshort,producers,VLsub,high,20,0.8064516129032258
1386398,wetshort,producers,VLsub,high,20,0.9715056668516352
1466277,wetshort,producers,VLsub,high,20,0.956521739130435
168365,oldcrop_short,producers,VLsub,high,20,0.5091836070593927
490359,oldcrop_short,producers,VLsub,high,20,0.9854212005665892
529881,oldcrop_short,producers,VLsub,high,20,0.6565981595549522
1143507,oldcrop_short,producers,VLsub,high,16,None
1402267,oldcrop_short,producers,VLsub,high,20,None
1473302,oldcrop_short,producers,VLsub,high,20,0.20780467402975383
116332,gen,producers,VLsub,high,10,None
315306,gen,producers,VLsub,high,14,None
405544,gen,producers,VLsub,high,10,None
424369,gen,producers,VLsub,high,13,0.0
805113,gen,producers,VLsub,high,10,None
806902,gen,producers,VLsub,high,8,None
860973,gen,producers,VLsub,high,11,None
290917,other,producers,VLsub,high,10,0.6023248373680281
481818,other,producers,VLsub,high,16,0.7470974794156394
819952,other,producers,VLsub,high,11,0.0
855895,other,producers,VLsub,high,15,0.0
916424,other,producers,VLsub,high,16,0.7435996217410175
1125880,other,producers,VLsub,high,16,None
1159486,other,producers,VLsub,high,13,0.22546972860125264
1238088,other,producers,VLsub,high,8,None
1455965,other,producers,VLsub,high,16,0.0
41318,waternew,overall,VLsub,high,20,0.9690442327981906
97785,waternew,overall,VLsub,high,20,0.7175665299417886
197293,waternew,overall,VLsub,high,17,0.9976704855172686
372152,waternew,overall,VLsub,high,20,0.9965179815246835
1141323,waternew,overall,VLsub,high,20,0.9397924538228722
1147060,waternew,overall,VLsub,high,19,0.8739428096763556
1150482,waternew,overall,VLsub,high,14,0.9768447701350269
1344822,waternew,overall,VLsub,high,20,0.9892522348086625
34405,treelosswet,overall,VLsub,high,20,0.9707624071967019
40284,treelosswet,overall,VLsub,high,20,0.985224368375656
259801,treelosswet,overall,VLsub,high,20,0.9880772542124691
815373,treelosswet,overall,VLsub,high,20,0.9725927886332378
1050008,treelosswet,overall,VLsub,high,20,0.8004244689252505
1348871,treelosswet,overall,VLsub,high,20,0.9670472764698737
1354518,treelosswet,overall,VLsub,high,20,0.9786636809782271
1398961,treelosswet,overall,VLsub,high,20,0.9805405879497567
1416380,treelosswet,overall,VLsub,high,20,0.8737169703642567
1422212,treelosswet,overall,VLsub,high,19,0.858751844744946
103279,builtnewalert,overall,VLsub,high,20,0.9879724745881098
119116,builtnewalert,overall,VLsub,high,19,0.5470125137521292
171471,builtnewalert,overall,VLsub,high,20,0.9990182010255003
349802,builtnewalert,overall,VLsub,high,20,0.8576547870688667
423727,builtnewalert,overall,VLsub,high,20,0.9927465039849974
796166,builtnewalert,overall,VLsub,high,20,0.9902271854342055
824841,builtnewalert,overall,VLsub,high,20,0.932558227603199
1240366,builtnewalert,overall,VLsub,high,20,0.834229968896653
1348771,builtnewalert,overall,VLsub,high,20,0.9563105063817816
1369893,builtnewalert,overall,VLsub,high,20,0.9791145211644237
1382159,builtnewalert,overall,VLsub,high,20,0.9490044246032503
539283,fire,overall,VLsub,high,20,0.8625713680733196
557332,fire,overall,VLsub,high,20,0.5775857568255578
913366,fire,overall,VLsub,high,20,0.5624260602429775
1377803,fire,overall,VLsub,high,20,0.972558980375101
1412057,fire,overall,VLsub,high,20,0.9022904357739332
30961,treelossTF,overall,VLsub,high,17,0.999527805882778
35975,treelossTF,overall,VLsub,high,20,0.9939518690128758
576420,treelossTF,overall,VLsub,high,19,0.9747729399968601
701068,treelossTF,overall,VLsub,high,15,0.9920776715851046
723123,treelossTF,overall,VLsub,high,20,0.9902961787292467
782693,treelossTF,overall,VLsub,high,18,0.9954673089056304
835445,treelossTF,overall,VLsub,high,19,0.9799943388307384
889432,treelossTF,overall,VLsub,high,20,0.9716993377881048
1058298,treelossTF,overall,VLsub,high,20,0.9498266433547052
74185,cropnew,overall,VLsub,high,16,1.0
254365,cropnew,overall,VLsub,high,10,0.9488023116211428
835151,cropnew,overall,VLsub,high,20,0.9953254922035967
857008,cropnew,overall,VLsub,high,20,0.9920669822372837
1085866,cropnew,overall,VLsub,high,20,0.9807318823263266
1415162,cropnew,overall,VLsub,high,20,0.8952841994101818
1465798,cropnew,overall,VLsub,high,20,0.9808558784752435
1472326,cropnew,overall,VLsub,high,20,0.9892189382186914
866187,wetshort,overall,VLsub,high,20,0.9092853367620357
1386398,wetshort,overall,VLsub,high,20,0.9401036217522081
1466277,wetshort,overall,VLsub,high,20,0.9824830887062376
168365,oldcrop_short,overall,VLsub,high,20,0.9780520725537358
490359,oldcrop_short,overall,VLsub,high,20,0.7601229162447946
529881,oldcrop_short,overall,VLsub,high,20,0.9768936088425718
1143507,oldcrop_short,overall,VLsub,high,16,0.7508276247277718
1402267,oldcrop_short,overall,VLsub,high,20,0.9805776325830327
1473302,oldcrop_short,overall,VLsub,high,20,0.9673543698482446
116332,gen,overall,VLsub,high,10,1.0
315306,gen,overall,VLsub,high,14,0.9934311057191588
405544,gen,overall,VLsub,high,10,1.0
424369,gen,overall,VLsub,high,13,0.8466140157121589
805113,gen,overall,VLsub,high,10,0.8254784713109391
806902,gen,overall,VLsub,high,8,None
860973,gen,overall,VLsub,high,11,0.8154189407880116
290917,other,overall,VLsub,high,10,0.9995566229218614
481818,other,overall,VLsub,high,16,0.9943925969308949
819952,other,overall,VLsub,high,11,0.9987903458943034
855895,other,overall,VLsub,high,15,0.9987382725076211
916424,other,overall,VLsub,high,16,0.9002958092565412
1125880,other,overall,VLsub,high,16,0.9997765469709533
1159486,other,overall,VLsub,high,13,0.9999290737819452
1238088,other,overall,VLsub,high,8,None
1455965,other,overall,VLsub,high,16,0.997589625283854
