site_id,date,labels
576420_5,2024-01-02,0
576420_5,2024-01-02,0
576420_5,2024-01-02,0
576420_5,2024-01-02,0
576420_5,2024-01-04,0
576420_5,2024-01-04,0
576420_5,2024-01-07,0
576420_5,2024-01-07,0
576420_5,2024-01-09,0
576420_5,2024-01-09,0
576420_5,2024-01-09,0
576420_5,2024-01-09,0
576420_5,2024-01-14,0
576420_5,2024-01-14,0
576420_5,2024-01-14,0
576420_5,2024-01-14,0
576420_5,2024-01-16,0
576420_5,2024-01-16,0
576420_5,2024-01-19,0
576420_5,2024-01-19,0
576420_5,2024-01-21,0
576420_5,2024-01-21,0
576420_5,2024-01-21,0
576420_5,2024-01-21,0
576420_5,2024-01-26,0
576420_5,2024-01-26,0
576420_5,2024-01-26,0
576420_5,2024-01-26,0
576420_5,2024-01-28,0
576420_5,2024-01-28,0
576420_5,2024-01-31,0
576420_5,2024-01-31,0
576420_5,2024-02-02,0
576420_5,2024-02-02,0
576420_5,2024-02-02,0
576420_5,2024-02-02,0
576420_5,2024-02-07,0
576420_5,2024-02-07,0
576420_5,2024-02-07,0
576420_5,2024-02-07,0
576420_5,2024-02-09,0
576420_5,2024-02-09,0
576420_5,2024-02-12,0
576420_5,2024-02-12,0
576420_5,2024-02-14,0
576420_5,2024-02-14,0
576420_5,2024-02-19,0
576420_5,2024-02-19,0
576420_5,2024-02-19,0
576420_5,2024-02-19,0
576420_5,2024-02-21,0
576420_5,2024-02-21,0
576420_5,2024-02-24,0
576420_5,2024-02-24,0
576420_5,2024-02-26,0
576420_5,2024-02-26,0
576420_5,2024-02-26,0
576420_5,2024-02-26,0
576420_5,2024-03-02,0
576420_5,2024-03-02,0
576420_5,2024-03-02,0
576420_5,2024-03-02,0
576420_5,2024-03-04,0
576420_5,2024-03-04,0
576420_5,2024-03-07,0
576420_5,2024-03-07,0
576420_5,2024-03-09,0
576420_5,2024-03-09,0
576420_5,2024-03-09,0
576420_5,2024-03-09,0
576420_5,2024-03-14,0
576420_5,2024-03-14,0
576420_5,2024-03-14,0
576420_5,2024-03-14,0
576420_5,2024-03-16,1
576420_5,2024-03-16,0
576420_5,2024-03-19,1
576420_5,2024-03-19,0
576420_5,2024-03-21,2
576420_5,2024-03-21,1
576420_5,2024-03-26,2
576420_5,2024-03-26,0
576420_5,2024-03-26,2
576420_5,2024-03-26,0
576420_5,2024-03-28,2
576420_5,2024-03-28,0
576420_5,2024-03-31,2
576420_5,2024-03-31,0
576420_5,2024-04-02,2
576420_5,2024-04-02,0
576420_5,2024-04-02,2
576420_5,2024-04-02,0
576420_5,2024-04-07,2
576420_5,2024-04-07,0
576420_5,2024-04-07,2
576420_5,2024-04-07,0
576420_5,2024-04-09,0
576420_5,2024-04-09,0
576420_5,2024-04-12,0
576420_5,2024-04-12,0
576420_5,2024-04-14,0
576420_5,2024-04-14,0
576420_5,2024-04-14,0
576420_5,2024-04-14,0
576420_5,2024-04-19,0
576420_5,2024-04-19,0
576420_5,2024-04-19,0
576420_5,2024-04-19,0
576420_5,2024-04-21,0
576420_5,2024-04-21,0
576420_5,2024-04-24,0
576420_5,2024-04-24,0
576420_5,2024-04-26,0
576420_5,2024-04-26,0
576420_5,2024-04-26,0
576420_5,2024-04-26,0
576420_5,2024-05-01,0
576420_5,2024-05-01,0
576420_5,2024-05-01,0
576420_5,2024-05-01,0
576420_5,2024-05-03,0
576420_5,2024-05-03,0
576420_5,2024-05-06,0
576420_5,2024-05-06,0
576420_5,2024-05-08,0
576420_5,2024-05-08,0
576420_5,2024-05-08,0
576420_5,2024-05-08,0
576420_5,2024-05-13,0
576420_5,2024-05-13,0
576420_5,2024-05-13,0
576420_5,2024-05-13,0
576420_5,2024-05-15,0
576420_5,2024-05-15,0
576420_5,2024-05-18,0
576420_5,2024-05-18,0
576420_5,2024-05-20,1
576420_5,2024-05-20,0
576420_5,2024-05-20,1
576420_5,2024-05-20,0
576420_5,2024-05-25,0
576420_5,2024-05-25,0
576420_5,2024-05-25,0
576420_5,2024-05-25,0
576420_5,2024-05-27,1
576420_5,2024-05-27,0
576420_5,2024-05-30,1
576420_5,2024-05-30,0
576420_5,2024-06-01,0
576420_5,2024-06-01,0
576420_5,2024-06-01,1
576420_5,2024-06-01,0
576420_5,2024-06-06,0
576420_5,2024-06-06,0
576420_5,2024-06-06,0
576420_5,2024-06-06,0
576420_5,2024-06-08,0
576420_5,2024-06-08,0
576420_5,2024-06-11,0
576420_5,2024-06-11,0
576420_5,2024-06-13,0
576420_5,2024-06-13,0
576420_5,2024-06-13,0
576420_5,2024-06-13,0
576420_5,2024-06-18,0
576420_5,2024-06-18,0
576420_5,2024-06-18,0
576420_5,2024-06-18,0
576420_5,2024-06-20,0
576420_5,2024-06-20,0
576420_5,2024-06-23,0
576420_5,2024-06-23,0
576420_5,2024-06-25,0
576420_5,2024-06-25,0
576420_5,2024-06-25,0
576420_5,2024-06-25,0
576420_5,2024-06-30,0
576420_5,2024-06-30,0
576420_5,2024-06-30,0
576420_5,2024-06-30,0
576420_5,2024-07-02,0
576420_5,2024-07-02,0
576420_5,2024-07-05,0
576420_5,2024-07-05,0
576420_5,2024-07-07,0
576420_5,2024-07-07,0
576420_5,2024-07-12,0
576420_5,2024-07-12,0
576420_5,2024-07-12,0
576420_5,2024-07-12,0
576420_5,2024-07-14,0
576420_5,2024-07-14,0
576420_5,2024-07-17,0
576420_5,2024-07-17,0
576420_5,2024-07-19,0
