site_id,date,labels
1344822_11,2024-01-04,255
1344822_11,2024-01-11,1
1344822_11,2024-01-13,2
1344822_11,2024-01-16,2
1344822_11,2024-01-23,2
1344822_11,2024-01-25,2
1344822_11,2024-01-28,2
1344822_11,2024-02-04,2
1344822_11,2024-02-06,2
1344822_11,2024-02-09,2
1344822_11,2024-02-16,2
1344822_11,2024-02-18,2
1344822_11,2024-02-21,2
1344822_11,2024-02-28,0
1344822_11,2024-03-01,0
1344822_11,2024-03-04,0
1344822_11,2024-03-11,0
1344822_11,2024-03-13,0
1344822_11,2024-03-16,0
1344822_11,2024-03-23,0
1344822_11,2024-03-25,0
1344822_11,2024-03-28,0
1344822_11,2024-04-04,0
1344822_11,2024-04-06,0
1344822_11,2024-04-09,0
1344822_11,2024-04-16,0
1344822_11,2024-04-18,0
1344822_11,2024-04-21,0
1344822_11,2024-04-28,0
1344822_11,2024-04-30,0
1344822_11,2024-05-03,0
1344822_11,2024-05-10,0
1344822_11,2024-05-12,0
1344822_11,2024-05-15,0
1344822_11,2024-05-22,0
1344822_11,2024-05-24,0
1344822_11,2024-05-27,0
1344822_11,2024-06-03,1
1344822_11,2024-06-05,2
1344822_11,2024-06-08,2
1344822_11,2024-06-15,5
1344822_11,2024-06-17,6
1344822_11,2024-06-20,6
1344822_11,2024-06-29,6
1344822_11,2024-07-02,6
1344822_11,2024-07-09,6
1344822_11,2024-07-11,6
1344822_11,2024-07-14,6
1344822_11,2024-07-21,6
1344822_11,2024-07-23,6
1344822_11,2024-07-26,6
1344822_11,2024-08-02,6
1344822_11,2024-08-04,6
1344822_11,2024-08-07,6
1344822_11,2024-08-14,6
1344822_11,2024-08-16,6
1344822_11,2024-08-19,6
1344822_11,2024-08-26,8
1344822_11,2024-08-28,8
1344822_11,2024-08-31,8
1344822_11,2024-09-07,8
1344822_11,2024-09-09,8
1344822_11,2024-09-12,8
1344822_11,2024-09-19,8
1344822_11,2024-09-21,8
1344822_11,2024-09-24,8
1344822_11,2024-10-01,8
1344822_11,2024-10-03,8
1344822_11,2024-10-06,8
1344822_11,2024-10-13,8
1344822_11,2024-10-15,8
1344822_11,2024-10-18,8
1344822_11,2024-10-25,8
1344822_11,2024-10-27,8
1344822_11,2024-10-30,8
1344822_11,2024-11-06,8
1344822_11,2024-11-08,1
1344822_11,2024-11-11,1
1344822_11,2024-11-18,0
1344822_11,2024-11-20,0
1344822_11,2024-11-23,0
1344822_11,2024-12-02,0
1344822_11,2024-12-05,0
1344822_11,2024-12-14,0
1344822_11,2024-12-17,0
1344822_11,2024-12-24,0
1344822_11,2024-12-26,0
1344822_11,2024-12-29,0
