site_id,date,labels
1460357_13,2024-01-03,0
1460357_13,2024-01-15,0
1460357_13,2024-01-27,0
1460357_13,2024-02-08,0
1460357_13,2024-02-20,0
1460357_13,2024-03-03,0
1460357_13,2024-03-15,1
1460357_13,2024-03-27,1
1460357_13,2024-04-08,0
1460357_13,2024-04-20,0
1460357_13,2024-05-02,1
1460357_13,2024-05-14,1
1460357_13,2024-05-26,1
1460357_13,2024-06-19,0
1460357_13,2024-07-01,0
1460357_13,2024-07-13,0
1460357_13,2024-07-25,0
1460357_13,2024-08-06,0
1460357_13,2024-08-18,1
1460357_13,2024-08-30,0
1460357_13,2024-09-11,0
1460357_13,2024-09-23,1
1460357_13,2024-10-05,1
1460357_13,2024-10-17,0
1460357_13,2024-10-29,0
1460357_13,2024-11-10,0
1460357_13,2024-11-22,0
1460357_13,2024-12-04,0
1460357_13,2024-12-16,0
1460357_13,2024-12-28,0
