site_id,date,labels
119116_18,2024-01-08,1
119116_18,2024-01-20,0
119116_18,2024-01-27,0
119116_18,2024-02-08,0
119116_18,2024-02-20,0
119116_18,2024-02-25,0
119116_18,2024-03-08,0
119116_18,2024-03-15,0
119116_18,2024-03-20,0
119116_18,2024-03-27,0
119116_18,2024-04-01,0
119116_18,2024-04-08,0
119116_18,2024-04-13,0
119116_18,2024-04-20,1
119116_18,2024-04-25,0
119116_18,2024-05-02,0
119116_18,2024-05-14,0
119116_18,2024-05-19,1
119116_18,2024-05-26,0
119116_18,2024-05-31,1
119116_18,2024-06-07,2
119116_18,2024-06-19,2
119116_18,2024-07-01,2
119116_18,2024-07-13,2
119116_18,2024-07-25,5
119116_18,2024-08-06,6
119116_18,2024-08-18,6
119116_18,2024-08-23,6
119116_18,2024-08-30,6
119116_18,2024-09-04,6
119116_18,2024-09-11,6
119116_18,2024-09-16,6
119116_18,2024-09-23,6
119116_18,2024-09-28,6
119116_18,2024-10-05,6
119116_18,2024-10-10,6
119116_18,2024-10-22,6
119116_18,2024-10-29,6
119116_18,2024-11-03,6
119116_18,2024-11-10,6
119116_18,2024-11-15,6
119116_18,2024-11-22,6
119116_18,2024-11-27,6
119116_18,2024-12-04,6
119116_18,2024-12-09,6
119116_18,2024-12-16,6
119116_18,2024-12-21,6
119116_18,2024-12-28,6
