site_id,date,labels
34405_10,2024-01-05,0
34405_10,2024-01-12,0
34405_10,2024-01-17,0
34405_10,2024-01-24,0
34405_10,2024-01-29,0
34405_10,2024-02-05,0
34405_10,2024-02-10,0
34405_10,2024-02-17,0
34405_10,2024-02-22,0
34405_10,2024-02-29,0
34405_10,2024-03-05,0
34405_10,2024-03-12,0
34405_10,2024-03-17,0
34405_10,2024-03-24,0
34405_10,2024-03-29,0
34405_10,2024-04-10,0
34405_10,2024-04-17,0
34405_10,2024-04-22,0
34405_10,2024-04-29,0
34405_10,2024-05-04,0
34405_10,2024-05-11,0
34405_10,2024-05-16,0
34405_10,2024-05-23,0
34405_10,2024-05-28,0
34405_10,2024-06-04,0
34405_10,2024-06-09,0
34405_10,2024-06-16,0
34405_10,2024-06-21,0
34405_10,2024-06-28,0
34405_10,2024-07-03,0
34405_10,2024-07-10,0
34405_10,2024-07-15,0
34405_10,2024-07-22,1
34405_10,2024-07-27,0
34405_10,2024-08-03,0
34405_10,2024-08-08,0
34405_10,2024-08-15,1
34405_10,2024-08-20,2
34405_10,2024-08-27,2
34405_10,2024-09-01,2
34405_10,2024-09-08,6
34405_10,2024-09-13,6
34405_10,2024-09-20,6
34405_10,2024-09-25,6
34405_10,2024-10-02,6
34405_10,2024-10-07,6
34405_10,2024-10-14,6
34405_10,2024-10-19,6
34405_10,2024-10-26,8
34405_10,2024-10-31,8
34405_10,2024-11-07,1
34405_10,2024-11-12,0
34405_10,2024-11-19,0
34405_10,2024-11-24,0
34405_10,2024-12-01,1
34405_10,2024-12-06,2
34405_10,2024-12-13,2
34405_10,2024-12-18,2
34405_10,2024-12-25,2
34405_10,2024-12-30,2
