granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240106T111441Z_20240208T021723Z_S2A_30_v1,20240106T111441Z,20240208T021723Z,0,NA,NA,200,0,0,NA,0,0,1094,0,NA,0,0,NA,0,0,1094
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240111T110836Z_20240208T153401Z_L9_30_v1,20240111T110836Z,20240208T153401Z,0,NA,NA,200,0,0,NA,0,0,1094,0,NA,0,0,NA,0,0,1094
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240111T111329Z_20240208T153432Z_S2B_30_v1,20240111T111329Z,20240208T153432Z,0,NA,NA,200,0,0,NA,0,0,1094,0,NA,0,0,NA,0,0,1094
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240112T110217Z_20240208T153503Z_L8_30_v1,20240112T110217Z,20240208T153503Z,0,NA,NA,200,0,0,NA,0,0,1094,0,NA,0,0,NA,0,0,1094
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240114T112329Z_20240208T153535Z_S2B_30_v1,20240114T112329Z,20240208T153535Z,0,NA,NA,200,0,0,NA,0,0,1094,0,NA,0,0,NA,0,0,1094
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240116T111411Z_20240208T153606Z_S2A_30_v1,20240116T111411Z,20240208T153606Z,0,NA,NA,200,0,0,NA,0,0,1094,0,NA,0,0,NA,0,0,1094
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240119T110850Z_20240208T153637Z_L8_30_v1,20240119T110850Z,20240208T153637Z,0,NA,NA,200,0,0,NA,0,0,1094,0,NA,0,0,NA,0,0,1094
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240120T110224Z_20240208T153708Z_L9_30_v1,20240120T110224Z,20240208T153708Z,0,NA,NA,200,0,0,NA,0,0,1094,0,NA,0,0,NA,0,0,1094
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240121T111259Z_20240208T153740Z_S2B_30_v1,20240121T111259Z,20240208T153740Z,0,NA,NA,200,0,0,NA,0,0,1094,0,NA,0,0,NA,0,0,1094
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240124T112249Z_20240208T153811Z_S2B_30_v1,20240124T112249Z,20240208T153811Z,1,30,29,59,30,30,20240124,1,1,1119,0,14,0,0,NA,0,0,1119
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240126T111331Z_20240208T153842Z_S2A_30_v1,20240126T111331Z,20240208T153842Z,1,NA,NA,59,30,30,20240124,1,1,1119,0,NA,0,0,NA,0,0,1119
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240127T110835Z_20240208T153913Z_L9_30_v1,20240127T110835Z,20240208T153913Z,2,34,25,59,34,128,20240124,2,4,1122,1,16,16,16,20240127,1,1,1122
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240128T110210Z_20240208T153944Z_L8_30_v1,20240128T110210Z,20240208T153944Z,2,NA,NA,59,34,128,20240124,2,4,1122,1,NA,16,16,20240127,1,1,1122
OPERA_L3_DIST-ALERT-HLS_T29SPC_20240129T112321Z_20240208T154014Z_S2A_30_v1,20240129T112321Z,20240208T154014Z,2,NA,NA,59,34,128,20240124,2,4,1122,1,NA,16,16,20240127,1,1,1122
