site_id,date,labels
855895_1,2024-01-02,255
855895_1,2024-01-07,1
855895_1,2024-01-12,1
855895_1,2024-01-14,1
855895_1,2024-01-24,1
855895_1,2024-01-30,0
855895_1,2024-01-31,0
855895_1,2024-02-05,0
855895_1,2024-02-07,0
855895_1,2024-02-12,0
855895_1,2024-02-17,0
855895_1,2024-02-19,0
855895_1,2024-02-24,0
855895_1,2024-02-29,0
855895_1,2024-03-02,0
855895_1,2024-03-07,0
855895_1,2024-03-12,0
855895_1,2024-03-14,0
855895_1,2024-03-19,0
855895_1,2024-03-24,0
855895_1,2024-03-26,0
855895_1,2024-03-30,0
855895_1,2024-03-31,0
855895_1,2024-04-05,0
855895_1,2024-04-07,0
855895_1,2024-04-11,0
855895_1,2024-04-12,0
855895_1,2024-04-17,0
855895_1,2024-04-19,0
855895_1,2024-04-29,0
855895_1,2024-05-01,0
855895_1,2024-05-05,0
855895_1,2024-05-06,0
855895_1,2024-05-11,0
855895_1,2024-05-13,0
855895_1,2024-05-17,4
855895_1,2024-05-23,4
855895_1,2024-05-29,0
855895_1,2024-05-30,1
855895_1,2024-06-04,1
855895_1,2024-06-06,1
855895_1,2024-06-10,2
855895_1,2024-06-16,2
855895_1,2024-06-18,2
855895_1,2024-06-23,2
855895_1,2024-06-28,2
855895_1,2024-06-30,2
855895_1,2024-07-10,2
855895_1,2024-07-12,2
855895_1,2024-07-16,2
855895_1,2024-07-17,2
855895_1,2024-07-22,2
855895_1,2024-07-24,2
855895_1,2024-07-28,3
855895_1,2024-08-03,3
855895_1,2024-08-05,3
855895_1,2024-08-09,3
855895_1,2024-08-10,3
855895_1,2024-08-15,3
855895_1,2024-08-17,3
855895_1,2024-08-21,3
855895_1,2024-08-22,3
855895_1,2024-08-27,3
855895_1,2024-08-29,3
855895_1,2024-09-02,3
855895_1,2024-09-03,3
855895_1,2024-09-08,7
855895_1,2024-09-10,7
855895_1,2024-09-15,7
855895_1,2024-09-20,7
855895_1,2024-09-22,7
855895_1,2024-09-27,7
855895_1,2024-10-02,7
855895_1,2024-10-04,7
855895_1,2024-10-09,1
855895_1,2024-10-14,1
855895_1,2024-10-16,1
855895_1,2024-10-20,0
855895_1,2024-10-21,1
855895_1,2024-10-26,1
855895_1,2024-10-28,1
855895_1,2024-11-02,0
855895_1,2024-11-07,0
855895_1,2024-11-09,0
855895_1,2024-11-13,0
855895_1,2024-11-14,1
855895_1,2024-11-19,1
855895_1,2024-11-21,1
855895_1,2024-11-26,0
855895_1,2024-12-01,0
855895_1,2024-12-03,0
855895_1,2024-12-07,0
855895_1,2024-12-08,0
855895_1,2024-12-13,0
855895_1,2024-12-15,0
855895_1,2024-12-19,1
855895_1,2024-12-20,0
855895_1,2024-12-25,0
855895_1,2024-12-27,0
