site_id,date,labels
1125880_16,2024-01-03,0
1125880_16,2024-01-15,1
1125880_16,2024-01-27,0
1125880_16,2024-02-08,0
1125880_16,2024-03-03,0
1125880_16,2024-03-15,0
1125880_16,2024-03-27,0
1125880_16,2024-04-08,0
1125880_16,2024-04-20,1
1125880_16,2024-05-02,2
1125880_16,2024-05-14,2
1125880_16,2024-05-26,2
1125880_16,2024-06-07,3
1125880_16,2024-06-19,3
1125880_16,2024-07-01,3
1125880_16,2024-07-13,3
1125880_16,2024-07-25,7
1125880_16,2024-08-06,1
1125880_16,2024-08-18,2
1125880_16,2024-08-30,2
1125880_16,2024-09-11,2
1125880_16,2024-09-23,2
1125880_16,2024-10-05,0
1125880_16,2024-10-17,0
1125880_16,2024-10-29,0
1125880_16,2024-11-10,0
1125880_16,2024-11-22,0
1125880_16,2024-12-04,0
1125880_16,2024-12-16,0
1125880_16,2024-12-28,0
