site_id,date,labels
1348871_19,2024-01-04,255
1348871_19,2024-01-06,0
1348871_19,2024-01-18,0
1348871_19,2024-01-30,0
1348871_19,2024-02-11,0
1348871_19,2024-02-23,0
1348871_19,2024-03-06,0
1348871_19,2024-03-18,0
1348871_19,2024-03-30,0
1348871_19,2024-04-09,0
1348871_19,2024-04-11,1
1348871_19,2024-04-21,1
1348871_19,2024-04-23,2
1348871_19,2024-05-03,2
1348871_19,2024-05-05,2
1348871_19,2024-05-17,2
1348871_19,2024-06-10,2
1348871_19,2024-06-22,2
1348871_19,2024-07-04,3
1348871_19,2024-07-16,3
1348871_19,2024-07-28,6
1348871_19,2024-08-09,6
1348871_19,2024-08-21,6
1348871_19,2024-08-31,6
1348871_19,2024-09-02,6
1348871_19,2024-09-14,6
1348871_19,2024-09-26,6
1348871_19,2024-10-08,8
1348871_19,2024-10-20,8
1348871_19,2024-11-01,8
1348871_19,2024-11-13,8
1348871_19,2024-11-25,8
1348871_19,2024-12-07,8
1348871_19,2024-12-19,8
